Id;City;State
97;Fremont;California
98;Boise;Idaho
99;Richmond;Virginia
100;San Bernardino;California
101;Birmingham;Alabama
102;Spokane;Washington
103;Rochester;New York
104;Des Moines;Iowa
105;Modesto;California
106;Fayetteville;North Carolina
107;Tacoma;Washington
108;Oxnard;California
109;Fontana;California
110;Columbus;Georgia
111;Montgomery;Alabama
112;Moreno Valley;California
113;Shreveport;Louisiana
114;Aurora;Illinois
115;Yonkers;New York
116;Akron;Ohio
117;Huntington Beach;California
118;Little Rock;Arkansas
119;Augusta;Georgia
120;Amarillo;Texas
121;Glendale;California
122;Mobile;Alabama
123;Grand Rapids;Michigan
124;Salt Lake City;Utah
125;Tallahassee;Florida
126;Huntsville;Alabama
127;Grand Prairie;Texas
128;Knoxville;Tennessee
129;Worcester;Massachusetts
130;Newport News;Virginia
131;Brownsville;Texas
132;Overland Park;Kansas
133;Santa Clarita;California
134;Providence;Rhode Island
135;Garden Grove;California
136;Chattanooga;Tennessee
137;Oceanside;California
138;Jackson;Mississippi
139;Fort Lauderdale;Florida
140;Santa Rosa;California
141;Rancho Cucamonga;California
142;Port St. Lucie;Florida
143;Tempe;Arizona
144;Ontario;California
145;Vancouver;Washington
146;Cape Coral;Florida
147;Sioux Falls;South Dakota
148;Springfield;Missouri
149;Peoria;Arizona
150;Pembroke Pines;Florida
151;Elk Grove;California
152;Salem;Oregon
153;Lancaster;California
154;Corona;California
155;Eugene;Oregon
156;Palmdale;California
157;Salinas;California
158;Springfield;Massachusetts
159;Pasadena;Texas
160;Fort Collins;Colorado
161;Hayward;California
162;Pomona;California
163;Cary;North Carolina
164;Rockford;Illinois
165;Alexandria;Virginia
166;Escondido;California
167;McKinney;Texas
168;Kansas City;Kansas
169;Joliet;Illinois
170;Sunnyvale;California
171;Torrance;California
172;Bridgeport;Connecticut
173;Lakewood;Colorado
174;Hollywood;Florida
175;Paterson;New Jersey
176;Naperville;Illinois
177;Syracuse;New York
178;Mesquite;Texas
179;Dayton;Ohio
180;Savannah;Georgia
181;Clarksville;Tennessee
182;Orange;California
183;Pasadena;California
184;Fullerton;California
185;Killeen;Texas
186;Frisco;Texas
187;Hampton;Virginia
188;McAllen;Texas
189;Warren;Michigan
190;Bellevue;Washington
191;West Valley City;Utah
192;Columbia;South Carolina
193;Olathe;Kansas
194;Sterling Heights;Michigan
195;New Haven;Connecticut
196;Miramar;Florida
197;Waco;Texas
198;Thousand Oaks;California
199;Cedar Rapids;Iowa
200;Charleston;South Carolina
201;Visalia;California
202;Topeka;Kansas
203;Elizabeth;New Jersey
204;Gainesville;Florida
205;Thornton;Colorado
206;Roseville;California
207;Carrollton;Texas
208;Coral Springs;Florida
209;Stamford;Connecticut
210;Simi Valley;California
211;Concord;California
212;Hartford;Connecticut
213;Kent;Washington
214;Lafayette;Louisiana
215;Midland;Texas
216;Surprise;Arizona
217;Denton;Texas
218;Victorville;California
219;Evansville;Indiana
220;Santa Clara;California
221;Abilene;Texas
222;Athens;Georgia
223;Vallejo;California
224;Allentown;Pennsylvania
225;Norman;Oklahoma
226;Beaumont;Texas
227;Independence;Missouri
228;Murfreesboro;Tennessee
229;Ann Arbor;Michigan
230;Springfield;Illinois
231;Berkeley;California
232;Peoria;Illinois
233;Provo;Utah
234;El Monte;California
235;Columbia;Missouri
236;Lansing;Michigan
237;Fargo;North Dakota
238;Downey;California
239;Costa Mesa;California
240;Wilmington;North Carolina
241;Arvada;Colorado
242;Inglewood;California
243;Miami Gardens;Florida
244;Carlsbad;California
245;Westminster;Colorado
246;Rochester;Minnesota
247;Odessa;Texas
248;Manchester;New Hampshire
249;Elgin;Illinois
250;West Jordan;Utah
251;Round Rock;Texas
252;Clearwater;Florida
253;Waterbury;Connecticut
254;Gresham;Oregon
255;Fairfield;California
256;Billings;Montana
257;Lowell;Massachusetts
258;Ventura;California
259;Pueblo;Colorado
260;High Point;North Carolina
261;West Covina;California
262;Richmond;California
263;Murrieta;California
264;Cambridge;Massachusetts
265;Antioch;California
266;Temecula;California
267;Norwalk;California
268;Centennial;Colorado
269;Everett;Washington
270;Palm Bay;Florida
271;Wichita Falls;Texas
272;Green Bay;Wisconsin
273;Daly City;California
274;Burbank;California
275;Richardson;Texas
276;Pompano Beach;Florida
277;North Charleston;South Carolina
278;Broken Arrow;Oklahoma
279;Boulder;Colorado
280;West Palm Beach;Florida
281;Santa Maria;California
282;El Cajon;California
283;Davenport;Iowa
284;Rialto;California
285;Edison;New Jersey
286;Las Cruces;New Mexico
287;San Mateo;California
288;Lewisville;Texas
289;South Bend;Indiana
290;Lakeland;Florida
291;Erie;Pennsylvania
292;Woodbridge;New Jersey
293;Tyler;Texas
294;Pearland;Texas
295;College Station;Texas
